id,ts,signal_type,platform,airfield,is_standdown,source,msg_id,evidence,raid_day
61380,2024-10-07T06:02:55+00:00,carrier,mig31k,,True,kpszsu,20768,📢 Відбій загрози по МіГ-31К.,2024-10-06
61381,2024-10-11T20:20:21+00:00,carrier,mig31k,,False,kpszsu,21152,"⚠Увага!
🚀Ракетна небезпека по всій території України!
🛫Зафіксовано зліт МіГ 31 К!",2024-10-11
61382,2024-10-15T07:58:52+00:00,carrier,mig31k,,False,kpszsu,21298,"⚠Увага!
Ракетна небезпека по всій території України!
Зліт МіГ-31К!",2024-10-14
61383,2024-10-21T09:18:24+00:00,carrier,mig31k,,False,kpszsu,21704,"⚠Увага!
🚨Ракетна небезпека по всій території України! 
Зліт МіГ-31К з Астрахані!",2024-10-21
61384,2024-10-21T09:50:58+00:00,carrier,mig31k,,True,kpszsu,21705,📢 Відбій загрози по МіГ-31К.,2024-10-21
61385,2024-10-25T08:30:59+00:00,carrier,mig31k,Саваслейка,False,kpszsu,21889,"⚠Увага!
✈Зліт МіГ-31К з аеродрому Саваслейка!
Ракетна небезпека по всій території України!",2024-10-24
61386,2024-11-11T04:52:26+00:00,carrier,mig31k,,False,kpszsu,22721,"⚠ Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К.",2024-11-10
61387,2024-11-13T01:21:44+00:00,carrier,tu95,,False,kpszsu,22823,"✈Зафіксовано зліт до 6 бортів Ту-95мс, з Оленєгорська. Орієнтовно в районі пускових рубежів очікуються о 5:00.
🔱 Про зміну обстановки повідомимо додатково!
📢Не ігноруйте сигнал повітряної тривоги.",2024-11-12
61388,2024-11-15T04:44:22+00:00,carrier,tu95,,False,kpszsu,22913,✈ За уточненими даними у повітрі близько 8-ми стратегічних бомбардувальників Ту-95МС,2024-11-14
61389,2024-11-17T01:17:03+00:00,carrier,tu95,,False,kpszsu,23010,"⚠Увага!
✈Зафіксовано зліт до 7 бортів Ту-95мс, з Оленєгорська. Орієнтовно в районі пускових рубежів очікуються о 6:00.
🔱 Про зміну обстановки повідомимо додатково!
📢Не ігноруйте сигнал повітряної тривоги.",2024-11-16
61390,2024-11-18T15:38:38+00:00,carrier,mig31k,,False,kpszsu,23182,"⚠ Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К.
Не ігноруйте сигнал повітряної тривоги!""",2024-11-18
61391,2024-11-18T15:59:43+00:00,carrier,mig31k,,True,kpszsu,23183,📢 Відбій небезпеки по МіГ-31К.,2024-11-18
61392,2024-11-21T03:22:03+00:00,carrier,mig31k,,False,kpszsu,23361,"⚠УТОЧНЕННЯ
🛬Повітряна тривога через зліт МіГ-31К.",2024-11-20
61393,2024-11-21T03:43:49+00:00,carrier,tu95,,False,kpszsu,23362,🛩 У повітрі знаходяться літаки Ту-95.,2024-11-20
61394,2024-11-27T11:03:08+00:00,carrier,mig31k,,False,kpszsu,23666,"⚠ Увага!
Ракетна небезпека по всій території України! Зліт МіГ-31К.
Не ігноруйте сигнал повітряної тривоги!""",2024-11-27
61395,2024-11-28T02:59:27+00:00,carrier,kalibr_ship,,False,kpszsu,23746,"⚠Увага!
Відмічено пуски крилатих ракет типу ""Калібр"" з Чорного моря!",2024-11-27
61396,2024-12-03T09:05:29+00:00,carrier,mig31k,,True,kpszsu,24078,📢 Увага! Відбій загрози МіГ 31К.,2024-12-02
61397,2024-12-13T01:23:33+00:00,carrier,tu95,Оленья,False,kpszsu,24649,"⚠ Увага!
✈ Зафіксовано зліт декількох Ту-95мс з аеродрому Оленья (Мурманська обл., рф).
👀 Слідкуйте за нашими повідомленнями та не ігноруйте сигнали повітряної тривоги.",2024-12-12
61398,2024-12-13T05:24:31+00:00,carrier,mig31k,Саваслейка,False,kpszsu,24687,"⚠ Увага!
Зліт МіГ-31К з аеродрому Саваслейка.
Не ігноруйте сигнал повітряної тривоги!""",2024-12-12
61399,2024-12-14T07:27:39+00:00,carrier,mig31k,,False,kpszsu,24827,"⚠Увага!
🚀Ракетна небезпека по всій території України!
🛫Зафіксовано зліт МіГ-31К!",2024-12-13
61400,2024-12-20T04:39:18+00:00,carrier,mig31k,,False,kpszsu,25137,"⚠Увага!
🚀Ракетна небезпека по всій території України!
🛫Зафіксовано зліт МіГ-31К!",2024-12-19
61401,2024-12-20T05:41:32+00:00,carrier,mig31k,,True,kpszsu,25143,📢 Увага! Відбій загрози МіГ 31К.,2024-12-19
61402,2024-12-24T23:36:26+00:00,carrier,tu95,Оленья,False,kpszsu,25545,"⚠ Увага!
✈ Зафіксовано зліт групи Ту-95мс з аеродрому Оленья (Мурманська обл., рф). Курс - південний.
👀 Слідкуйте за подальшими повідомленнями та не ігноруйте сигнали повітряної тривоги.",2024-12-24
61403,2024-12-25T03:10:41+00:00,carrier,kalibr_ship,,False,kpszsu,25559,"⚠ Увага!
Загроза пуску ракет ""Калібр"" з акваторії Чорного моря.",2024-12-24
61404,2024-12-25T03:25:02+00:00,carrier,kalibr_ship,,False,kpszsu,25560,"⚠ Увага! 
🚀Зафіксовано пуски крилатих ракет типу ""Калібр"" з Чорного моря!",2024-12-24
61405,2024-12-31T06:27:14+00:00,carrier,mig31k,Саваслейка,False,kpszsu,25828,🛫Зліт МіГ-31К з аеродрому Саваслейка.,2024-12-30
61406,2025-01-03T11:38:13+00:00,carrier,mig31k,,False,kpszsu,26117,"⚠Увага!
🚀Ракетна небезпека по всій території України!
🛫Зафіксовано зліт МіГ-31К!",2025-01-03
61407,2025-01-08T08:35:28+00:00,carrier,mig31k,,False,kpszsu,26449,"⚠Увага!
Ракетна небезпека по всій території України!
Зліт МіГ-31К!",2025-01-07
61408,2025-01-15T00:57:57+00:00,carrier,tu95,Оленья,False,kpszsu,26884,"⚠ Увага!
✈ Зафіксовано зліт групи Ту-95мс з аеродрому Оленья (Мурманська обл., рф).
👀 Слідкуйте за подальшими повідомленнями та не ігноруйте сигнали повітряної тривоги.",2025-01-14
61409,2025-01-28T09:19:45+00:00,carrier,mig31k,,False,kpszsu,27677,"⚠Увага!
🚨Ракетна небезпека по всій території України! 
Зліт МіГ-31К!",2025-01-27
61410,2025-01-28T09:33:11+00:00,carrier,mig31k,,True,kpszsu,27678,📢Відбій загрози МіГ-31К,2025-01-27
61411,2025-02-10T21:36:25+00:00,carrier,kalibr_ship,,False,kpszsu,28522,"⚠ Увага! 
🚀Ймовірно відбулись пуски крилатих ракет типу ""Калібр"" з Чорного моря!
       Слідкуйте за подальшими повідомленнями та не ігноруйте сигнали повітряної тривоги.",2025-02-10
61412,2025-02-24T09:08:47+00:00,carrier,mig31k,,False,kpszsu,29403,"⚠Увага!
Ракетна небезпека по всій території України!
Зліт МіГ-31К!",2025-02-23
61413,2025-03-03T09:47:37+00:00,carrier,mig31k,,False,kpszsu,29805,"🚨 Увага!
🛫Ракетна небезпека по всій території України! Зліт МіГ-31К .
Не ігноруйте сигнал повітряної тривоги!",2025-03-02
61414,2025-03-06T15:21:28+00:00,carrier,mig31k,,False,kpszsu,30013,"🚨 Увага!
🛫Ракетна небезпека по всій території України! Зліт МіГ-31К .
Не ігноруйте сигнал повітряної тривоги!",2025-03-06
61415,2025-03-06T22:53:53+00:00,carrier,tu95,Оленья,False,kpszsu,30070,"⚠ Увага!
✈ Зафіксовано зліт групи бортів Ту-95 з аеродрому Оленья (Мурманська область, рф)! 
       Слідкуйте за нашими повідомленнями!
       У разі оголошення повітряної тривоги – прямуйте в укриття!",2025-03-06
